Minerio A,Minerio B,Minerio C,Minerio D,Minerio E,Minerio F,Minerio G,Minerio H,Minerio I,Minerio J,Minerio K,Minerio L,Minerio M,Minerio N,Minerio O,Minerio P,Minerio Q,Minerio R,Minerio S,Minerio T,Minerio U,DOMAIN
0.0,0.0,0.0,0.0,6.065367338,0,31.84608622,0.0,11,0,15.16141642,0.0,0.0,6.182029077,0.0,0.0,26.51085532,0,0,0.0,2.404676807,3
0.0,0.0,0.0,0.0,5.262151709,0,32.24132768,0.0,9,0,15.68757823,0.0,0.0,6.013015902,0.0,0.0,27.91216938,0,0,0.0,3.202808748,3
0.0,0.0,0.0,0.0,4.785514298,0,32.87937019,0.0,9,0,12.80185051,0.0,0.0,6.809261583,0.0,0.0,31.22679279,0,0,0.0,2.243957537,3
0.0,0.0,0.0,0.0,4.502605159,0,33.1358331,0.0,8,0,12.10047138,0.0,0.0,7.442433131,0.0,0.0,31.92098002,0,0,0.0,1.976277071,3
0.0,0.0,0.0,0.0,4.302773718,0,33.71395179,0.0,9,0,9.879694407,0.0,0.0,9.074375895,0.0,0.0,32.85810158,0,0,0.0,0.736876857,3
0.0,0.0,0.0,0.0,4.192243553,0,33.74177837,0.0,9,0,10.19414277,0.0,0.0,9.013119723,0.0,0.0,32.81466429,0,0,0.0,0.940105475,3
0.0,0.0,0.0,0.0,3.880480696,0,34.18627057,0.0,8,0,8.761341031,0.0,0.0,9.75450725,0.0,0.0,34.22662704,0,0,0.0,0.391368163,3
0.0,0.0,0.0,0.0,3.756932179,0,34.17721456,0.0,8,0,9.624067371,0.0,0.0,9.788726562,0.0,0.0,33.49103993,0,0,0.0,0.757388338,3
0.0,0.0,0.0,0.0,3.736241533,0,34.29904183,0.0,8,0,9.005339551,0.0,0.0,9.825535095,0.0,0.0,34.27706736,0,0,0.0,0.575214808,3
0.0,0.0,0.0,0.0,3.463306415,0,34.53585658,0.0,7,0,8.589949178,0.0,0.0,10.13577843,0.0,0.0,34.99465633,0,0,0.0,0.511919217,3
0.0,0.0,0.0,0.0,3.212013852,0,34.82773323,0.0,7,0,7.072075154,0.0,0.0,10.30532625,0.0,0.0,37.01317208,0,0,0.0,0.093045269,3
0.0,0.0,0.0,0.0,2.96542541,0,35.05678823,0.0,6,0,6.82151951,0.0,0.0,9.890969137,0.0,0.0,38.34065849,0,0,0.0,0.332896069,3
0.0,0.0,0.0,0.0,2.347706262,0,35.50920982,0.0,5,0,6.030113127,0.0,0.0,10.12493729,0.0,0.0,40.43999942,0,0,0.0,0.439844145,3
0.0,0.0,0.0,0.0,2.15681554,0,35.58670312,0.0,4,0,6.346217587,0.0,0.0,10.14531871,0.0,0.0,40.49959986,0,0,0.0,0.676235125,3
0.0,0.0,0.0,0.0,2.245291456,0,35.62577668,0.0,5,0,5.363430762,0.0,0.0,10.41308879,0.0,0.0,41.08557751,0,0,0.0,0.180971562,3
0.0,0.0,0.0,0.0,2.205725985,0,35.44763657,0.0,4,0,5.634466293,0.0,0.0,9.478236712,0.0,0.0,41.99049979,0,0,0.0,0.6489994,3
0.0,0.0,0.0,0.0,2.319257006,0,35.1855034,0.0,4,0,5.806027249,0.0,0.0,8.756822133,0.0,0.0,42.50266385,0,0,0.0,0.92640922,3
0.0,0.0,0.0,0.0,2.061168088,0,35.49199073,0.0,4,0,5.024025059,0.0,0.0,9.272438323,0.0,0.0,43.34163875,0,0,0.0,0.648156351,3
0.0,0.0,0.0,0.0,2.150392653,0,35.3794695,0.0,4,0,5.850519978,0.0,0.0,8.97722214,0.0,0.0,42.48391773,0,0,0.0,0.95124928,3
0.0,0.0,0.0,0.0,2.072260899,0,35.68016491,0.0,4,0,5.73136858,0.0,0.0,10.18107235,0.0,0.0,41.31206846,0,0,0.0,0.504952089,3
0.0,0.0,0.0,0.0,1.916241704,0,35.65087666,0.0,4,0,6.23659808,0.0,0.0,9.720631581,0.0,0.0,41.47388933,0,0,0.0,0.903460854,3
0.0,0.0,0.0,0.0,2.292243335,0,35.28052108,0.0,4,0,7.382262703,0.0,0.0,9.064693259,0.0,0.0,40.03814688,0,0,0.0,1.246904355,3
0.0,0.0,0.0,0.0,1.914921065,0,35.70042949,0.0,4,0,6.684255926,0.0,0.0,9.723060716,0.0,0.0,40.81185389,0,0,0.0,1.006260503,3
0.0,0.0,0.0,0.0,1.387692982,0,36.3886405,0.0,3,0,1.971290804,0.0,0.0,11.02253421,0.0,0.0,45.30283706,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.528712092,0,36.16299812,0.0,3,0,2.501161738,0.0,0.0,9.972026249,0.0,0.0,46.43471822,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.431954831,0,36.16255975,0.0,2,0,2.86225904,0.0,0.0,9.508892858,0.0,0.0,46.97028932,0,0,0.0,0.285871917,3
0.0,0.0,0.0,0.0,2.413309241,0,35.66632136,0.0,5,0,5.262906955,0.0,0.0,9.383944597,0.0,0.0,41.87599598,0,0,0.0,0.357324936,3
0.0,0.0,0.0,0.0,2.364178619,0,35.61968016,0.0,6,0,4.198868663,0.0,0.0,11.3869977,0.0,0.0,40.04196287,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.81835595,0,36.10992994,0.0,5,0,1.827040709,0.0,0.0,11.48684308,0.0,0.0,43.202666,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,2.265658987,0,35.80157504,0.0,6,0,2.773916114,0.0,0.0,11.6440392,0.0,0.0,40.79966222,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.810170123,0,36.0374469,0.0,5,0,2.40320878,0.0,0.0,11.2411253,0.0,0.0,43.35185414,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.81448747,0,36.01852486,0.0,4,0,3.299695896,0.0,0.0,10.79375101,0.0,0.0,43.44126985,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.925348685,0,35.95720992,0.0,5,0,2.875972073,0.0,0.0,10.91844742,0.0,0.0,43.18596725,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,1.764150911,0,36.03987785,0.0,4,0,2.7530605,0.0,0.0,10.65859773,0.0,0.0,44.28610288,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,2.467626366,0,35.40769709,0.0,5,0,5.740541812,0.0,0.0,10.90211552,0.0,0.0,39.51813152,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,2.283697928,0,35.61130588,0.0,5,0,4.522887056,0.0,0.0,10.83354387,0.0,0.0,41.07452215,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,2.285993579,0,35.5062889,0.0,5,0,5.771344676,0.0,0.0,10.52981001,0.0,0.0,40.46199146,0,0,0.0,0.268327332,3
